item_name,url,price
Chihuahua Petite Society Vintage Tee,https://dgru.base.shop/items/144610002,8480
Chihuahua Petite Society Sweat Shorts,https://dgru.base.shop/items/144610158,8480
Chihuahua Travel Club Tee,https://dgru.base.shop/items/144609806,8480
Chihuahua Travel Club Sweat Shorts,https://dgru.base.shop/items/144609807,8480
Chihuahua Sunglasses Club Tee,https://dgru.base.shop/items/144609805,6480
Chihuahua Ivy Loafer Tee,https://dgru.base.shop/items/144609755,6480
Chihuahua Ribbon Grace Tee,https://dgru.base.shop/items/144609742,6480
Chihuahua Ribbon Grace Tee,https://dgru.base.shop/items/144609743,6480
Chihuahua Flower Bouquet Vintage Tee,https://dgru.base.shop/items/144609741,6480
Chihuahua Rain Club Nylon Set-Up,https://dgru.base.shop/items/144609677,19800
Chihuahua Chess Club Tee,https://dgru.base.shop/items/144609676,6480
Chihuahua Ribbon Club Vintage Tee,https://dgru.base.shop/items/144609556,6480
Chihuahua Bar Club Tee,https://dgru.base.shop/items/144609497,6480
Chihuahua Bar Club Tee,https://dgru.base.shop/items/144609496,6480
Chihuahua Sunglasses Club Tee,https://dgru.base.shop/items/144609444,6480
Chihuahua Sunglasses Club Tee,https://dgru.base.shop/items/144609442,6480
weekend chihuahua dry T-shirt,https://dgru.base.shop/items/143179305,6480
weekend chihuahua dry T-shirt,https://dgru.base.shop/items/143179304,6480
ribbon design　chihuahua　dry T-shirt,https://dgru.base.shop/items/143179622,6480
chihuahua 8ball vintageTシャツ,https://dgru.base.shop/items/143179165,6480
ロングコートチワワ　手書き風イラストTシャツ,https://dgru.base.shop/items/143179107,5980
DJ chihuahua ロングスリーブTシャツ,https://dgru.base.shop/items/143179262,8480
チワワ　ジップデザインスウェット(blue),https://dgru.base.shop/items/133501241,9480
チワワ　ジップデザインスウェット,https://dgru.base.shop/items/133501249,9480
チワワ　ビックシルエットTシャツ,https://dgru.base.shop/items/123442508,5980
チワワ　ビックシルエットスウェット,https://dgru.base.shop/items/123442973,8980
チワワ　ポケットレスパーカー,https://dgru.base.shop/items/123442998,8980
チワワ　ポケットレスパーカー,https://dgru.base.shop/items/123443008,8980
チワワ　ロングスリーブTシャツ,https://dgru.base.shop/items/123443117,7980
チワワ　ハーフジップ,https://dgru.base.shop/items/123444354,9980
チワワ　バックプリントスウェット,https://dgru.base.shop/items/126224583,8980
チワワ　バックプリントスウェット,https://dgru.base.shop/items/126224590,8980
チワワ　バックプリント　ロングスリーブTシャツ,https://dgru.base.shop/items/126224617,8000
チワワ　バックプリント　スウェット,https://dgru.base.shop/items/126224705,8980
チワワ　バックプリント　フルジップパーカー,https://dgru.base.shop/items/126224715,9980
チワワ　ヴィンテージパンツ　チャックデザイン,https://dgru.base.shop/items/133501063,12800
cheekyチワワ　サコッシュ,https://dgru.base.shop/items/139223948,3700
cheekyチワワ　vintage加工キャップ,https://dgru.base.shop/items/139223956,8900
cheekyチワワ　vintage加工キャップ,https://dgru.base.shop/items/139223957,8900
cheekyチワワ　vintage加工キャップ,https://dgru.base.shop/items/139223967,8900
cheekyチワワ　ワンポイント刺繍Tシャツ,https://dgru.base.shop/items/139223969,7980
cheekyチワワ　ワンポイント刺繍Tシャツ,https://dgru.base.shop/items/139223970,7980
cheekyチワワ　ジップパーカー,https://dgru.base.shop/items/139223978,11980
cheekyチワワ　ジップパーカー,https://dgru.base.shop/items/139223979,11980
